Tenure,Monthly_Charges,Total_Charges,Support_Calls,Internet_Usage,Contract_Type,Churn
67,105.74,7080.49,3,81.07,0,1
21,77.84,1655.04,4,66.29,2,1
59,111.56,6579.01,1,26.97,0,1
20,31.02,637.46,3,48.44,1,0
7,114.21,771.31,1,76.71,0,1
55,58.15,3182.14,0,60.42,0,1
18,65.49,1151.82,2,61.35,1,0
17,78.79,1327.36,3,35.33,1,1
37,94.25,3459.81,1,38.28,0,1
35,89.38,3111.96,0,69.8,0,1
65,61.87,4013.69,6,63.52,0,1
31,34.26,1070.64,1,66.16,1,0
7,82.34,546.39,2,47.06,0,1
31,87.33,2668.65,5,59.27,0,1
15,74.74,1072.35,2,16.55,0,1
39,33.45,1330.77,1,65.24,1,0
67,111.54,7479.46,2,21.62,2,1
23,87.82,2022.06,2,20.87,1,1
6,92.3,576.69,3,42.83,1,1
21,66.68,1389.22,4,40.48,0,1
53,56.1,2971.3,2,55.89,1,0
71,76.84,5452.22,2,55.53,1,0
47,80.93,3846.96,3,62.44,1,1
72,107.14,7725.52,4,87.46,0,1
55,36.35,1981.49,0,68.58,1,0
5,48.18,246.43,3,15.73,0,1
68,29.82,2010.56,0,20.91,1,0
35,23.39,816.84,2,47.92,0,0
68,117.08,7932.91,1,38.91,0,1
70,20.5,1438.05,2,20.52,0,0
54,57.52,3124.98,0,59.53,0,1
44,95.39,4208.01,2,65.05,1,1
16,83.04,1365.1,2,31.99,0,1
5,52.78,268.91,1,18.98,0,1
39,103.28,4015.0,4,42.42,1,1
22,32.22,756.42,4,80.4,1,0
68,105.02,7153.31,1,59.91,2,1
50,44.2,2215.58,1,58.25,0,1
38,91.8,3484.67,2,74.56,1,1
60,33.95,2041.94,1,52.99,0,1
67,92.12,6144.29,3,57.36,1,1
41,106.98,4393.81,2,51.73,0,1
28,77.79,2165.77,1,0.0,0,1
15,83.36,1229.16,1,52.78,0,1
39,53.51,2081.39,2,58.08,1,0
56,101.56,5708.39,1,33.53,0,1
19,64.6,1239.2,1,26.27,1,0
28,100.89,2821.54,4,49.18,0,1
23,96.18,2213.56,5,61.96,0,1
30,90.54,2687.4,3,43.88,1,1
53,44.54,2389.82,2,35.27,0,1
16,37.36,570.86,2,30.39,0,1
31,95.32,2964.87,3,44.02,0,1
26,27.45,723.72,2,65.39,2,0
50,26.09,1321.55,5,34.91,0,1
24,30.09,733.88,1,60.09,0,1
48,102.32,4931.05,2,41.16,1,1
55,22.7,1247.47,1,72.11,0,0
5,52.89,219.09,3,75.78,0,1
28,54.59,1557.49,2,54.03,0,1
18,74.78,1369.2,4,48.65,0,1
9,56.48,510.43,1,59.94,0,1
49,69.18,3437.87,0,84.64,1,0
51,25.45,1291.79,1,35.33,0,0
26,106.6,2797.71,3,54.65,2,1
17,39.21,687.5,1,82.51,0,1
54,65.05,3533.14,2,18.44,1,0
15,52.22,837.93,2,38.97,0,1
45,68.73,3079.51,3,63.25,2,0
28,71.22,1983.84,5,35.53,0,1
13,49.52,654.21,6,48.25,1,1
10,87.98,873.47,0,59.2,1,0
60,32.15,1945.68,1,46.84,0,1
40,23.07,950.59,1,11.33,0,0
5,119.51,575.36,1,36.85,1,1
53,96.94,5132.79,4,36.09,0,1
26,24.98,668.48,4,52.33,0,1
43,72.15,3091.22,2,86.36,0,1
6,70.35,412.57,2,77.38,1,1
20,39.64,762.22,2,58.55,0,1
43,47.99,2061.32,3,64.82,0,1
64,48.46,3121.96,3,8.64,0,1
15,41.13,610.06,2,26.42,1,0
2,24.61,22.51,1,20.76,0,1
33,42.47,1418.19,2,84.8,0,1
58,28.32,1630.4,2,31.74,0,1
43,26.27,1126.4,2,46.64,0,1
6,25.52,125.88,1,34.06,0,0
29,91.93,2644.49,4,30.74,0,1
72,104.46,7504.64,1,61.07,0,1
54,108.55,5874.66,3,60.14,0,1
56,45.13,2539.78,2,69.44,1,0
43,33.03,1411.82,2,85.53,0,1
22,101.01,2228.26,0,33.2,2,1
66,59.08,3877.39,1,41.62,0,1
9,105.14,961.64,3,51.89,0,1
6,63.13,384.76,0,50.87,1,0
3,78.58,251.73,2,31.75,0,1
58,41.14,2357.37,0,20.66,2,0
46,112.62,5190.66,2,49.44,0,1
60,103.63,6223.84,0,34.77,1,1
52,109.95,5755.01,1,76.82,0,1
16,114.41,1839.36,2,47.16,1,1
13,100.46,1318.11,1,67.73,0,1
49,69.01,3401.82,1,41.72,1,0
65,57.7,3724.76,1,34.95,1,0
17,73.11,1230.99,3,42.68,0,1
44,93.83,4154.43,6,64.32,0,1
6,90.72,525.24,0,63.46,2,1
8,52.58,407.52,6,58.02,0,1
6,92.54,522.51,1,53.93,0,1
53,75.66,4002.22,1,63.79,0,1
42,97.28,4056.99,0,37.83,2,0
66,25.22,1672.54,3,42.08,0,1
51,78.32,4017.31,1,52.13,0,1
18,32.4,572.01,0,39.69,0,0
22,45.64,1000.18,5,42.95,0,1
31,96.92,3039.04,2,30.55,0,1
3,54.41,160.84,3,73.06,0,1
47,48.08,2275.32,1,87.01,1,0
26,40.33,1050.47,1,0.0,0,1
56,87.84,4911.54,2,56.67,2,1
25,76.75,1905.55,3,45.23,1,1
10,68.0,696.01,0,38.68,0,1
69,65.28,4522.14,2,48.25,2,0
54,93.56,5058.58,5,73.96,2,1
10,73.86,729.97,1,52.0,2,0
47,78.17,3676.16,4,60.13,0,1
29,50.97,1482.01,3,56.05,0,1
47,111.94,5295.33,4,43.07,0,1
49,75.1,3684.51,1,42.58,0,1
63,91.28,5747.0,2,30.8,0,1
53,44.17,2372.32,2,46.06,0,1
34,40.95,1390.58,2,39.23,0,1
55,93.02,5111.09,1,63.77,0,1
7,57.31,408.22,2,54.07,0,1
10,101.19,965.81,1,80.32,1,1
62,64.4,3973.35,2,48.31,0,1
62,81.17,5026.79,2,3.15,2,1
56,98.61,5513.83,1,61.81,1,1
52,57.22,2988.42,4,44.29,1,0
55,71.26,3945.92,2,53.85,0,1
50,48.21,2414.89,0,68.98,0,0
66,38.5,2574.77,3,44.42,0,1
29,32.85,957.14,1,58.59,1,0
32,69.3,2229.83,3,62.69,0,1
37,68.49,2533.53,2,48.98,0,1
9,116.12,1026.23,3,39.71,1,1
70,87.01,6085.13,1,37.67,0,1
45,65.64,2986.73,0,59.51,0,1
47,38.9,1816.66,2,46.21,0,1
11,67.2,765.6,4,33.28,0,1
23,115.79,2682.85,2,48.29,0,1
33,77.56,2557.57,3,34.59,0,1
68,43.61,2928.47,3,43.27,0,1
58,48.15,2809.28,2,55.07,0,1
25,117.44,2935.93,1,26.81,1,1
14,24.34,321.11,0,16.17,0,0
16,73.71,1184.12,1,0.0,0,1
43,23.93,1021.61,1,44.52,2,0
56,25.21,1396.77,3,46.02,1,0
11,33.85,336.97,3,42.96,1,0
56,32.13,1796.49,1,21.65,1,0
58,52.14,3037.46,1,29.78,1,0
43,23.14,942.28,3,44.01,1,0
63,111.55,7053.63,2,59.28,1,1
31,22.05,687.25,1,51.08,0,0
60,107.1,6401.36,3,43.03,1,1
24,24.71,580.8,2,51.15,0,0
72,110.97,7981.07,0,38.92,2,1
25,44.49,1139.11,0,21.73,0,1
44,83.21,3645.56,1,35.2,0,1
20,77.0,1518.04,1,20.49,0,1
63,102.16,6461.3,1,69.4,0,1
35,62.49,2205.59,3,22.9,2,0
44,85.89,3758.12,3,56.88,1,1
34,110.89,3777.95,0,45.33,0,1
54,72.81,3909.01,1,33.87,1,0
29,28.9,860.91,1,60.56,0,0
52,103.22,5366.68,3,62.29,0,1
52,84.32,4403.76,2,52.44,0,1
20,86.87,1762.86,0,34.07,0,1
18,108.38,1913.62,1,64.75,0,1
3,49.47,143.96,4,57.23,0,1
51,117.09,5974.44,3,45.24,2,1
68,101.27,6908.03,3,32.68,1,1
45,92.54,4169.24,2,50.65,1,1
61,24.37,1539.23,2,28.3,0,0
58,86.73,5074.97,2,37.97,0,1
49,72.98,3555.67,1,40.94,0,1
42,113.28,4754.51,1,46.05,1,1
67,54.52,3647.05,3,53.7,1,0
15,112.01,1674.68,5,89.39,1,1
17,97.73,1624.25,3,83.07,0,1
19,35.74,670.63,1,13.24,0,1
39,38.87,1537.92,2,36.2,0,1
48,63.47,3042.62,0,56.72,0,1
26,74.59,1942.42,3,53.97,0,1
30,55.59,1692.46,2,33.11,0,1
55,57.29,3164.99,2,70.04,1,0
17,34.66,579.66,5,70.9,0,1
54,20.0,1091.53,4,21.04,0,1
24,86.64,2109.19,1,0.0,0,1
17,65.04,1112.94,3,90.16,0,1
10,36.09,352.95,5,60.03,2,0
66,21.97,1424.58,3,78.01,1,0
72,85.8,6169.33,1,64.54,0,1
21,37.31,783.74,3,58.5,0,1
63,49.92,3113.89,2,48.48,0,1
55,62.11,3394.82,4,55.67,2,1
50,24.44,1233.88,0,23.42,0,0
66,78.71,5163.14,0,43.96,2,0
55,37.55,2065.43,1,33.02,0,0
33,114.02,3773.54,5,55.27,0,1
60,64.72,3920.86,1,91.51,0,1
8,22.61,212.5,0,54.89,0,0
72,34.89,2533.84,1,58.15,0,0
43,27.12,1157.98,2,30.81,2,0
72,65.82,4742.59,0,58.21,0,1
29,106.14,3066.26,4,9.19,0,1
29,54.15,1552.54,3,38.05,2,0
62,103.29,6418.89,1,71.22,1,1
65,68.83,4484.25,2,73.1,1,0
46,42.76,1971.82,1,57.82,0,1
39,20.1,811.31,3,51.76,0,0
34,93.51,3207.43,0,37.85,0,1
57,84.75,4829.91,0,9.16,0,1
12,77.42,924.92,1,64.69,0,1
51,80.45,4099.86,2,60.08,0,1
8,80.08,648.95,3,21.76,1,1
8,107.11,881.01,1,38.61,1,1
40,28.61,1131.64,3,29.86,1,0
2,45.58,70.39,0,29.05,2,1
8,112.51,911.32,2,52.27,0,1
37,84.64,3140.75,2,70.93,1,1
19,101.81,1923.51,1,34.94,1,1
57,37.22,2117.76,2,40.11,0,1
41,92.35,3788.79,0,64.65,2,0
66,92.95,6101.0,3,40.49,1,1
56,119.86,6735.1,2,38.65,1,1
58,82.29,4774.2,4,47.45,0,1
54,59.59,3196.65,2,50.35,1,0
8,61.15,523.39,3,88.35,1,1
70,86.85,6059.25,0,24.49,2,0
3,71.75,181.89,3,13.87,0,1
21,78.59,1625.46,0,70.76,1,0
53,59.89,3161.56,0,61.58,0,1
16,107.46,1740.98,0,53.13,0,1
36,23.37,804.97,3,14.44,0,1
48,60.71,2901.28,2,46.43,0,1
11,20.87,245.97,1,59.13,0,0
17,34.89,595.02,0,55.79,1,0
55,94.82,5217.27,3,68.96,0,1
58,64.78,3762.83,2,42.91,0,1
47,31.61,1493.26,0,71.9,0,0
10,79.38,788.52,2,70.51,2,1
65,63.2,4109.3,0,25.95,1,0
68,64.12,4321.23,1,30.49,1,0
4,21.65,80.16,1,45.13,1,0
54,42.64,2303.68,2,67.82,0,1
8,100.7,800.56,5,30.96,0,1
57,64.92,3676.39,2,62.07,0,1
68,46.75,3198.19,2,66.86,0,1
27,99.44,2648.9,2,41.65,0,1
63,88.19,5569.38,3,54.82,0,1
11,85.29,950.85,1,47.47,0,1
37,107.24,3971.4,6,32.87,2,1
36,28.26,994.96,3,64.03,1,0
49,47.49,2344.68,2,76.96,0,1
14,108.47,1480.24,2,36.57,0,1
67,90.2,6073.91,2,24.18,0,1
65,115.89,7509.62,3,40.96,0,1
49,83.93,4076.04,1,37.91,0,1
35,39.58,1399.68,1,44.5,1,0
36,93.14,3363.51,5,59.95,2,1
23,40.03,924.02,6,50.82,1,1
39,97.29,3805.08,3,34.6,0,1
32,20.25,614.7,3,27.31,1,0
65,111.72,7266.21,2,45.23,0,1
30,84.6,2566.86,3,39.19,0,1
68,115.41,7853.27,2,70.16,0,1
72,68.29,4920.07,3,41.35,0,1
55,106.9,5872.76,4,39.19,0,1
55,106.29,5835.5,4,48.04,1,1
64,81.32,5170.74,0,40.7,0,1
65,90.42,5878.31,4,59.97,0,1
16,40.71,652.63,1,60.29,0,1
22,54.54,1206.68,1,52.88,0,1
55,113.81,6230.35,1,13.19,0,1
4,119.83,510.49,3,41.48,0,1
38,62.65,2388.23,1,77.66,1,0
54,40.46,2175.78,0,42.76,0,0
41,65.04,2694.09,2,67.3,1,0
13,96.76,1243.43,5,78.36,2,1
50,59.06,2975.6,2,58.36,1,0
46,48.25,2228.91,2,59.01,0,1
14,49.86,645.81,2,49.64,0,1
20,54.92,1099.82,5,30.35,1,1
41,61.93,2513.32,5,40.41,0,1
22,102.0,2250.37,3,31.95,0,1
66,74.41,4887.03,3,39.32,0,1
32,106.96,3400.9,2,31.65,2,1
22,102.72,2255.86,3,59.14,0,1
25,61.32,1525.95,1,65.88,2,0
49,72.02,3534.26,1,52.01,1,0
67,28.37,1911.84,1,44.54,0,1
69,61.79,4276.6,0,85.82,2,0
15,77.13,1178.7,3,68.62,2,1
67,46.44,3128.74,1,58.76,0,1
34,33.7,1164.32,0,24.03,1,0
3,95.78,287.44,1,16.8,0,1
62,21.07,1320.97,1,56.14,0,0
28,86.94,2438.17,3,22.89,0,1
57,86.92,4912.31,0,53.54,0,1
51,53.92,2736.22,3,24.13,1,0
52,60.62,3129.37,2,41.23,0,1
50,95.27,4756.23,0,51.16,0,1
58,20.6,1188.24,1,19.57,0,0
31,116.31,3594.77,4,81.59,0,1
27,37.36,1020.02,1,63.05,2,0
16,75.44,1222.56,1,80.21,0,1
65,70.39,4600.99,2,53.23,0,1
28,75.49,2098.86,3,43.6,0,1
6,97.97,572.25,1,12.96,2,1
44,60.87,2657.03,1,85.4,0,1
31,87.89,2711.24,3,60.29,2,1
21,89.17,1890.4,2,58.43,2,1
13,38.78,535.1,1,68.19,1,0
41,100.61,4126.4,0,22.55,0,1
35,21.26,752.39,1,61.25,0,0
65,98.93,6460.04,0,56.35,1,1
51,119.99,6100.23,3,70.37,0,1
23,69.64,1601.72,1,66.5,1,0
5,24.87,112.12,4,53.17,0,1
8,43.79,369.31,0,19.76,0,1
28,95.3,2666.84,2,68.53,2,1
7,99.85,661.45,1,43.64,0,1
1,113.62,105.53,2,38.71,1,1
45,109.74,4937.49,3,76.07,0,1
11,34.12,358.02,2,35.64,0,1
4,118.61,482.37,2,69.48,1,1
18,38.29,679.14,6,57.16,1,1
38,69.6,2638.16,1,63.0,0,1
3,26.83,72.76,1,17.29,0,1
3,29.12,81.38,2,33.31,0,1
5,113.06,558.64,3,46.44,2,1
29,114.09,3326.19,5,29.79,1,1
36,71.18,2517.81,0,47.75,0,1
15,41.24,612.1,4,77.04,0,1
26,53.72,1420.57,0,32.94,0,1
6,45.98,303.45,3,59.15,0,1
55,93.32,5156.77,2,72.21,0,1
31,44.72,1372.41,4,58.42,0,1
61,35.31,2161.58,1,61.93,0,1
15,102.28,1550.18,0,37.62,0,1
40,116.24,4652.91,3,25.33,1,1
6,68.15,399.94,1,57.8,0,1
38,41.08,1588.39,0,38.9,0,0
24,57.14,1392.33,1,27.28,0,1
44,25.97,1134.5,2,39.1,1,0
34,24.78,831.41,0,27.98,0,0
22,50.57,1108.6,1,35.66,0,1
69,30.81,2097.84,2,48.58,0,0
1,59.52,40.26,2,43.69,1,1
61,61.41,3751.77,1,59.85,0,1
5,80.23,382.33,2,12.82,1,1
64,40.4,2577.11,2,13.43,0,1
46,28.01,1286.24,0,34.79,0,0
52,48.89,2472.64,1,91.01,0,1
56,80.9,4544.75,2,81.84,1,1
60,24.04,1446.72,4,60.3,2,0
64,41.8,2672.49,1,66.36,1,0
11,53.9,587.79,4,49.57,2,1
26,100.75,2609.71,1,11.76,0,1
23,68.56,1572.12,1,67.06,2,0
16,109.13,1756.8,2,42.27,0,1
70,70.95,4964.38,2,40.1,0,1
6,43.16,276.94,3,37.69,1,0
55,74.89,4140.79,2,36.41,0,1
66,66.73,4419.81,1,28.86,2,0
22,89.55,1957.28,0,51.05,0,1
28,25.65,708.22,0,44.66,0,0
70,35.66,2468.26,1,65.47,2,0
72,33.3,2390.35,5,36.22,0,1
5,57.84,318.15,2,49.08,0,1
17,57.64,997.07,2,44.03,1,0
44,110.08,4860.35,1,0.36,2,1
4,23.45,110.61,1,53.31,0,1
7,78.27,530.07,2,12.37,0,1
9,25.13,236.7,1,68.52,0,1
2,76.82,151.76,3,53.79,0,1
39,75.55,2948.88,1,81.79,0,1
67,110.0,7366.66,1,25.77,0,1
26,116.04,3000.2,1,63.75,1,1
16,61.91,994.53,1,48.59,0,1
40,28.25,1119.3,1,17.98,2,0
33,23.22,798.79,3,44.8,0,1
38,117.09,4442.92,0,52.36,0,1
32,27.27,840.26,1,34.2,1,0
32,113.24,3607.42,3,61.86,2,1
5,37.24,218.48,2,7.69,0,1
49,64.14,3131.71,2,49.09,1,0
36,38.03,1361.5,4,75.78,0,1
64,102.65,6597.66,1,15.06,0,1
10,32.46,347.38,5,34.59,0,1
69,43.01,2949.67,1,54.79,1,0
61,48.48,2974.5,0,57.16,0,0
40,30.93,1236.79,3,19.44,1,0
54,56.93,3074.72,3,62.96,0,1
3,27.13,89.18,4,20.54,0,1
33,48.91,1598.06,0,54.26,0,1
14,103.85,1451.22,1,33.24,0,1
15,100.77,1534.58,3,57.3,0,1
3,82.96,220.31,3,85.37,0,1
22,47.77,1060.6,1,38.06,1,0
62,114.19,7091.57,1,13.18,0,1
28,62.71,1765.8,1,24.52,0,1
66,107.57,7097.41,3,53.88,0,1
49,75.37,3691.02,2,36.06,0,1
62,44.86,2760.28,1,56.01,0,1
4,72.95,308.45,2,12.74,0,1
15,61.58,920.86,1,26.46,0,1
13,113.57,1535.96,1,54.42,1,1
18,112.54,2057.51,2,47.21,0,1
70,47.44,3337.14,3,57.37,0,1
57,88.92,5082.54,2,35.93,2,1
71,117.58,8389.43,3,35.13,0,1
32,80.32,2570.47,3,25.79,0,1
8,50.34,406.6,2,74.8,1,0
4,116.72,457.08,0,44.67,0,1
16,93.37,1490.27,2,49.68,2,1
2,117.21,255.66,1,24.54,0,1
56,35.89,2050.85,1,63.29,0,1
29,21.37,590.38,2,45.54,1,0
7,49.3,326.99,1,45.67,0,1
44,117.51,5165.44,1,43.07,1,1
10,47.08,474.68,1,60.53,0,1
19,95.8,1834.88,4,48.44,1,1
35,22.17,795.24,0,64.05,2,0
31,117.0,3635.75,2,83.54,0,1
23,55.22,1276.75,0,20.57,0,1
54,77.81,4197.66,2,25.66,0,1
33,57.77,1918.13,2,82.62,2,0
2,28.88,28.9,3,58.78,0,1
12,107.79,1293.46,1,39.52,1,1
34,99.85,3375.44,3,96.9,1,1
31,73.42,2279.93,0,44.61,1,0
8,80.0,611.44,1,52.51,1,1
3,33.93,76.37,3,53.18,0,1
44,104.85,4633.48,1,63.28,0,1
28,107.41,3000.02,1,36.85,0,1
66,26.94,1724.83,2,53.38,0,0
5,69.02,328.4,3,42.64,1,1
46,64.07,2912.62,3,32.07,1,0
19,20.75,384.63,2,60.94,0,0
57,23.97,1395.5,1,41.87,0,0
70,67.08,4685.59,1,40.82,0,1
1,118.46,100.04,4,23.08,0,1
55,105.16,5777.65,1,47.46,0,1
63,117.85,7418.49,1,50.41,1,1
13,45.47,592.27,2,54.87,0,1
12,64.88,774.66,3,77.63,0,1
64,31.28,2000.96,1,38.55,0,0
61,45.5,2791.28,3,55.66,0,1
10,70.52,673.87,1,59.56,0,1
37,53.23,1984.63,4,43.48,1,0
45,34.68,1570.36,1,36.75,0,1
47,75.02,3521.0,1,39.19,0,1
18,92.28,1666.97,2,27.56,2,1
8,39.59,298.11,0,47.96,0,1
52,31.81,1646.03,2,58.09,0,1
50,64.92,3257.89,1,34.3,0,1
45,25.17,1136.72,0,48.69,0,0
61,72.51,4399.7,1,47.16,0,1
59,54.11,3186.57,3,53.22,0,1
52,99.06,5148.5,1,40.94,0,1
57,86.28,4910.11,0,36.91,0,1
48,47.64,2299.39,3,54.15,2,0
41,112.18,4587.74,2,40.57,0,1
68,55.98,3794.72,0,42.19,1,0
10,92.99,936.18,2,45.42,0,1
56,39.03,2198.18,1,43.57,1,0
7,68.09,463.42,4,47.32,0,1
4,96.05,359.24,3,25.68,0,1
43,33.56,1432.18,4,51.66,0,1
17,24.88,413.59,2,42.65,2,0
29,20.0,557.68,1,55.63,0,0
27,78.94,2168.6,0,45.37,0,1
54,106.58,5744.31,0,57.97,0,1
61,81.37,4955.11,1,30.14,0,1
24,49.83,1246.11,1,65.28,0,1
30,29.85,886.06,0,39.61,1,0
14,44.27,613.12,2,68.84,0,1
47,62.18,2929.15,0,62.37,0,1
10,108.01,1074.34,0,33.14,2,1
52,60.18,3120.04,2,47.06,1,0
45,70.82,3184.29,1,31.45,1,0
62,22.21,1359.42,2,42.0,2,0
31,119.87,3710.64,3,30.26,1,1
51,79.28,4073.08,0,54.49,0,1
65,118.21,7675.15,2,54.41,0,1
30,59.25,1783.86,6,71.79,0,1
11,38.59,388.62,4,37.1,1,0
66,111.82,7384.7,5,48.14,0,1
24,70.44,1687.76,4,34.57,0,1
9,86.3,791.14,3,35.68,1,1
35,52.81,1842.07,3,117.51,0,1
37,28.91,1089.42,3,26.8,0,1
20,45.24,914.43,1,41.99,2,0
6,32.56,217.98,3,13.28,0,1
21,99.84,2111.21,3,54.75,0,1
36,34.97,1225.98,1,40.21,2,0
25,42.94,1081.29,2,58.32,2,0
14,69.32,936.55,2,45.0,0,1
61,68.47,4202.09,1,59.66,0,1
3,56.67,177.24,1,43.35,0,1
69,20.36,1393.63,3,42.49,0,0
42,91.64,3847.62,3,49.38,1,1
26,68.62,1796.17,2,54.26,1,0
30,62.18,1848.35,1,58.45,0,1
42,100.48,4217.11,5,66.39,0,1
56,77.93,4368.52,1,33.11,2,0
63,79.15,4958.86,3,46.61,0,1
11,106.43,1138.7,1,50.42,0,1
51,106.85,5455.68,3,75.35,0,1
28,72.14,2005.66,4,69.09,2,1
56,32.39,1822.63,0,31.19,0,0
25,83.33,2099.22,1,43.99,2,1
3,115.13,315.38,1,58.5,1,1
64,111.28,7113.85,2,108.07,0,1
57,82.28,4634.97,2,52.46,0,1
9,27.94,250.99,3,12.18,0,1
68,46.29,3170.03,8,48.49,0,1
48,118.4,5648.87,2,53.37,1,1
40,68.76,2744.67,0,6.9,1,0
18,83.48,1502.05,0,36.57,1,0
38,30.01,1135.82,2,27.54,0,0
11,68.67,738.03,3,46.14,0,1
14,106.75,1533.09,2,72.72,2,1
56,37.3,2107.6,1,53.83,0,1
58,37.32,2194.11,0,0.0,0,0
2,20.72,21.94,3,69.31,2,1
32,53.25,1680.39,3,73.54,2,0
48,83.71,4026.02,3,64.86,0,1
71,93.26,6627.05,5,77.85,0,1
28,80.01,2248.77,1,35.13,0,1
12,101.92,1237.97,0,60.99,1,1
63,97.32,6147.96,1,46.63,1,1
55,41.48,2302.46,0,53.74,2,0
48,75.71,3603.02,2,35.86,2,0
53,20.28,1047.66,1,54.89,2,0
20,88.01,1781.02,1,38.16,1,1
41,44.32,1808.14,2,66.72,0,1
71,65.69,4661.89,2,35.7,0,1
39,108.13,4225.22,2,74.25,0,1
4,96.7,371.25,2,13.72,0,1
64,45.72,2940.42,2,36.09,0,1
3,94.95,300.5,0,85.1,0,1
14,60.37,828.78,1,65.33,0,1
58,41.96,2433.73,3,20.6,0,1
5,100.35,516.43,0,74.14,0,1
