Marketing_Spend,Seasonality_Index,Product_Price,Promotion_Discount,Competitor_Price,Weekly_Sales
3051.42,1.14,18.44,0.11,13.99,622
4843.97,1.02,13.49,0.21,13.87,786
8362.13,0.7,71.93,0.39,54.0,868
8746.58,0.92,85.46,0.07,83.11,816
1062.57,1.12,65.56,0.38,52.88,422
5596.73,1.38,78.61,0.3,84.25,576
4756.7,1.3,97.96,0.25,102.1,510
2998.97,1.11,66.78,0.46,66.13,468
2078.79,0.73,49.97,0.33,48.22,504
4038.54,0.72,99.39,0.14,102.57,495
9486.19,1.31,66.57,0.23,66.87,895
3908.83,1.16,25.97,0.33,20.81,766
5669.12,0.86,71.66,0.05,69.55,626
7327.17,1.47,76.88,0.07,72.68,721
4272.67,1.39,11.01,0.46,16.69,730
9746.04,1.17,48.97,0.13,53.87,856
9662.03,0.87,95.17,0.18,102.18,809
3266.04,0.81,83.46,0.06,84.27,506
5475.24,1.44,28.43,0.1,34.65,691
3707.9,0.94,37.42,0.05,39.12,567
3563.56,1.3,69.42,0.38,71.17,465
1331.98,1.44,92.14,0.28,86.82,481
6486.08,0.99,89.03,0.15,86.75,729
5524.11,1.15,31.85,0.13,34.83,769
1463.31,0.59,71.33,0.02,63.86,526
3507.82,1.15,60.78,0.28,73.15,551
9174.39,0.72,43.82,0.11,44.05,889
3156.06,1.17,37.09,0.1,33.4,551
2304.05,0.6,54.85,0.41,60.53,547
5405.07,1.0,61.16,0.05,55.14,761
9870.85,1.02,90.95,0.35,92.97,799
3178.5,0.98,77.42,0.12,73.67,571
7049.22,1.26,15.42,0.34,14.38,898
7854.58,1.25,25.92,0.05,26.34,890
3138.74,1.21,31.4,0.27,32.65,592
7553.95,1.13,28.54,0.23,34.6,789
4310.05,1.4,36.65,0.23,34.16,701
6690.75,1.08,46.58,0.11,46.48,822
6701.77,0.85,11.52,0.07,5.89,799
5821.97,0.56,16.14,0.4,20.62,753
1812.61,1.04,69.61,0.08,66.88,446
8517.72,0.73,64.06,0.22,71.79,792
3887.02,0.89,88.87,0.02,82.79,595
2678.67,0.55,95.95,0.09,96.14,403
1366.98,1.14,75.85,0.07,77.07,519
6318.04,1.39,45.52,0.35,49.9,708
7098.08,0.83,76.95,0.38,76.31,717
1149.29,1.3,62.08,0.43,57.63,342
5608.84,0.63,94.88,0.02,98.56,628
3038.46,1.22,91.4,0.44,89.5,456
6806.56,0.58,85.62,0.16,87.12,694
2569.3,0.76,68.53,0.45,58.19,531
7218.44,0.86,25.39,0.21,20.47,816
4480.62,0.66,79.27,0.01,73.58,634
9430.57,0.68,89.09,0.25,98.56,786
2237.69,1.2,77.58,0.3,78.94,425
4069.6,0.6,62.71,0.3,54.77,684
2021.26,1.43,76.99,0.47,77.22,456
9322.24,1.27,42.95,0.21,35.43,944
8896.05,0.86,22.62,0.24,22.81,864
3321.47,1.13,40.42,0.5,35.98,623
6939.86,1.22,87.44,0.01,83.46,740
8355.0,1.09,90.64,0.31,86.31,760
5996.81,1.12,28.05,0.35,27.2,746
5766.86,1.42,17.88,0.29,19.24,782
3176.67,1.38,18.82,0.26,20.35,619
1837.92,1.41,59.11,0.18,62.84,524
9074.94,1.39,34.03,0.33,20.85,944
9103.76,1.19,48.49,0.11,53.1,853
6697.91,0.99,59.09,0.47,53.63,727
4051.27,0.99,15.14,0.47,22.2,645
4142.89,1.27,81.03,0.25,75.3,561
7533.6,1.42,26.15,0.29,34.42,848
9073.99,0.59,50.62,0.5,51.43,810
8983.78,1.38,88.42,0.29,89.72,710
8018.88,1.35,84.0,0.44,88.83,744
6778.28,0.59,89.97,0.08,98.86,622
1757.26,1.16,74.05,0.2,75.25,433
2454.66,1.47,31.17,0.3,23.93,650
9086.99,1.35,45.71,0.46,45.53,893
6457.86,0.56,19.09,0.02,20.15,722
1082.77,1.43,43.55,0.39,43.29,483
1913.24,0.67,10.44,0.33,6.01,692
6971.52,0.57,58.83,0.2,54.89,760
1045.55,0.73,14.66,0.37,10.1,535
2447.27,0.98,19.93,0.28,19.29,603
5938.6,1.32,62.42,0.22,59.48,735
7227.06,0.77,15.93,0.04,14.86,874
6867.65,0.89,72.14,0.19,75.9,722
3018.42,0.64,70.67,0.16,61.71,551
7409.61,0.79,92.36,0.36,98.57,653
3135.24,1.4,52.17,0.48,55.69,590
3928.6,1.18,99.37,0.37,105.82,463
7718.42,1.17,92.97,0.22,92.76,723
6846.7,0.75,48.86,0.31,36.22,758
8643.01,0.65,38.4,0.05,37.78,896
6918.52,1.39,53.98,0.22,48.5,812
6114.78,1.44,52.44,0.21,51.54,658
1843.07,0.55,24.44,0.34,31.52,551
4309.44,1.03,82.18,0.49,83.55,670
3386.82,0.94,18.69,0.26,17.87,722
3195.91,1.24,20.45,0.31,18.46,692
9757.09,0.8,62.06,0.14,60.92,925
4537.88,1.12,30.67,0.18,32.64,678
9028.42,0.58,89.62,0.39,85.54,788
6680.25,1.32,99.83,0.08,99.03,644
8153.3,0.74,23.94,0.17,18.8,921
5523.73,0.81,94.49,0.41,98.23,591
6192.13,0.88,80.94,0.3,74.2,695
5432.66,0.71,44.08,0.47,43.86,705
2757.19,1.31,57.99,0.31,62.38,574
7502.07,0.57,45.24,0.16,47.58,764
3526.95,1.43,56.26,0.04,59.53,507
1218.84,1.43,56.31,0.47,55.85,430
6809.25,1.33,78.32,0.27,78.72,657
2594.0,1.45,69.68,0.25,76.0,551
9464.13,1.26,16.98,0.11,16.34,1035
9585.36,1.06,36.83,0.26,36.43,934
9233.78,1.22,17.54,0.05,20.73,947
4331.43,0.5,48.45,0.36,50.44,635
1139.11,1.19,53.49,0.44,52.84,557
9354.87,0.54,42.04,0.49,42.99,929
4853.66,1.39,26.1,0.15,26.18,695
9699.89,1.4,43.17,0.1,48.51,891
9672.58,0.61,72.12,0.08,58.44,968
8677.09,1.18,21.02,0.05,20.87,879
3650.04,1.17,57.23,0.4,47.59,574
4465.88,1.0,72.82,0.21,73.72,609
8660.23,0.53,28.55,0.09,31.71,890
3852.3,0.61,92.93,0.25,99.2,470
2525.43,1.16,22.21,0.08,18.37,546
6011.21,1.03,24.22,0.42,19.82,814
9425.39,0.55,21.23,0.04,16.32,935
7264.27,1.02,81.94,0.02,86.73,750
6130.55,1.35,18.65,0.42,14.03,769
1874.59,1.39,55.51,0.38,50.69,490
6535.07,1.2,89.89,0.24,93.96,635
9910.48,1.16,61.2,0.35,59.84,885
2260.76,1.27,42.66,0.04,44.43,610
5664.97,0.63,50.82,0.35,49.34,612
8896.36,0.69,12.34,0.11,9.56,938
7666.92,0.99,55.1,0.44,57.04,737
7273.14,0.95,91.05,0.09,93.64,635
7322.36,0.68,88.7,0.43,96.49,606
4235.42,1.18,16.27,0.4,7.0,806
3642.33,1.24,54.15,0.03,55.51,608
8284.25,0.77,18.95,0.06,14.82,936
8291.02,0.81,62.86,0.12,67.28,822
8803.65,0.76,51.06,0.3,53.03,802
9219.16,0.78,70.72,0.17,65.97,845
5602.08,0.86,55.55,0.38,59.1,686
5513.65,0.94,49.49,0.47,51.66,729
8184.66,0.98,41.98,0.44,37.4,853
6849.68,0.98,15.91,0.21,7.01,840
7317.7,1.12,72.03,0.02,64.52,629
8162.13,0.84,25.74,0.13,23.83,856
9010.05,1.0,83.58,0.22,86.44,758
4041.96,1.01,39.08,0.19,49.66,683
4380.25,0.6,71.48,0.19,68.84,696
1845.84,1.13,98.24,0.14,101.32,363
6204.52,0.78,50.55,0.23,49.56,789
1323.48,0.55,79.42,0.4,75.82,527
5190.38,1.15,81.28,0.01,76.24,608
5883.8,0.55,13.02,0.22,14.31,715
3578.87,0.94,58.43,0.47,65.68,488
6317.5,1.12,39.18,0.32,22.77,867
1274.5,1.5,50.23,0.49,52.32,509
1336.13,1.02,37.02,0.2,30.66,504
8403.41,0.82,58.72,0.13,58.75,849
4241.72,0.99,91.22,0.46,98.79,614
2143.54,0.7,14.58,0.11,22.27,520
5700.19,0.94,29.33,0.43,32.99,660
7929.94,1.37,90.39,0.12,82.42,760
2942.39,0.64,16.54,0.37,9.43,660
6606.01,1.03,43.17,0.42,36.52,798
1768.13,1.12,32.63,0.44,38.65,511
1465.14,0.81,25.73,0.47,24.45,564
5782.19,1.24,34.53,0.35,27.58,716
5865.72,1.16,62.33,0.22,63.96,659
6736.87,0.96,97.13,0.12,99.87,592
7534.82,1.14,47.29,0.05,50.16,832
9782.67,1.34,50.18,0.45,51.86,860
5646.7,1.1,45.93,0.11,49.69,665
3906.61,1.07,95.99,0.37,98.48,470
8156.68,1.12,21.8,0.38,29.55,847
3437.49,1.18,37.49,0.19,37.87,516
4950.74,0.9,12.71,0.32,19.1,659
1706.11,1.34,40.97,0.06,39.94,516
1228.16,1.42,34.99,0.19,32.55,535
9663.84,1.12,31.86,0.18,34.09,911
8523.82,1.39,30.05,0.28,29.54,851
7263.77,1.24,40.01,0.24,38.1,787
4680.58,0.92,32.69,0.06,26.4,763
2559.65,1.0,15.61,0.25,11.51,633
2407.93,1.07,33.74,0.01,34.77,513
3252.19,1.44,97.95,0.22,96.91,556
5943.04,1.15,95.02,0.08,98.87,631
7431.36,1.01,74.31,0.07,80.6,808
6941.78,0.62,27.26,0.0,25.87,896
3519.41,1.17,61.77,0.5,64.72,498
9593.79,1.05,85.62,0.27,80.16,878
7641.07,1.44,19.96,0.25,27.49,862
5989.19,0.84,57.76,0.13,53.33,678
6505.49,1.3,37.63,0.37,31.73,870
4776.4,0.78,46.07,0.3,46.36,684
3229.58,0.67,58.8,0.4,57.89,591
4203.75,0.51,53.14,0.46,49.76,717
7820.61,1.4,92.71,0.27,88.44,748
1129.54,0.94,57.99,0.07,53.94,424
2044.65,0.78,71.27,0.34,71.9,521
1414.02,0.9,60.12,0.49,61.1,504
1366.56,1.21,46.38,0.13,50.6,465
8699.15,0.89,28.54,0.45,32.71,824
7332.92,0.73,17.3,0.32,21.5,891
5267.56,0.59,70.97,0.28,65.65,604
1880.51,1.12,19.13,0.03,25.08,518
5424.54,1.47,17.5,0.22,10.81,782
5261.25,1.13,92.39,0.22,87.31,747
2558.82,1.45,97.33,0.44,94.58,522
4904.66,1.38,64.12,0.31,63.08,591
4586.54,0.66,12.87,0.42,13.74,684
6542.65,1.38,78.64,0.2,87.07,595
6715.84,0.5,56.29,0.4,62.71,701
1407.74,1.01,79.77,0.02,79.54,456
4371.51,1.02,47.24,0.24,38.4,699
6632.74,1.23,77.04,0.3,74.51,743
5528.23,1.26,81.58,0.01,78.1,667
8708.41,0.73,59.18,0.01,58.72,823
6928.24,1.38,97.2,0.46,94.45,645
2466.41,0.68,37.64,0.46,41.03,621
1635.12,1.46,95.15,0.47,99.28,410
6781.77,1.49,13.98,0.1,8.17,839
1238.6,1.2,82.48,0.48,81.49,437
6271.98,1.15,60.42,0.38,67.31,697
9462.07,1.48,40.91,0.22,39.45,919
6179.27,0.74,16.85,0.25,18.39,795
4493.53,1.14,72.09,0.16,63.73,678
6789.59,0.91,70.8,0.44,78.88,653
5124.28,0.67,75.33,0.33,71.86,665
5910.55,0.63,76.84,0.4,81.82,608
9473.18,1.2,20.69,0.03,22.85,986
4474.92,0.73,87.3,0.06,88.06,509
9650.72,1.1,23.23,0.31,15.07,960
9148.16,0.74,60.93,0.01,57.13,831
2762.12,0.95,81.72,0.44,87.12,487
1624.25,1.24,99.99,0.32,100.64,422
1907.0,1.03,27.39,0.02,25.49,605
1164.0,1.37,36.09,0.38,35.76,500
1849.99,1.03,36.64,0.31,34.72,514
7147.06,0.69,74.0,0.48,65.99,802
1640.7,1.4,55.88,0.13,55.22,491
3870.78,0.92,45.62,0.08,40.82,629
8603.88,1.37,95.19,0.23,97.2,748
1209.45,0.73,61.74,0.24,63.51,532
8330.22,1.14,85.21,0.02,97.35,732
3536.69,0.67,96.86,0.16,96.55,575
2063.48,0.58,55.4,0.14,65.22,436
7270.63,1.5,91.22,0.3,85.29,639
6660.49,0.51,81.9,0.38,80.29,703
8897.25,1.09,99.76,0.13,103.76,816
7615.64,0.51,50.53,0.37,49.35,795
8231.33,1.05,11.94,0.19,9.21,877
3538.31,0.6,19.83,0.33,26.25,640
2596.96,1.29,77.56,0.3,80.82,455
7755.53,0.79,83.2,0.4,82.32,688
8261.51,0.84,42.42,0.32,44.5,889
9914.55,0.75,20.39,0.09,26.89,976
4713.56,0.61,73.82,0.39,72.95,589
4348.16,1.0,67.14,0.35,72.19,565
7987.72,0.95,14.96,0.2,19.06,868
4067.23,1.04,59.26,0.0,58.63,570
9376.82,1.13,32.28,0.29,30.57,883
8725.71,0.59,20.44,0.28,16.45,882
4860.95,0.91,26.33,0.37,31.15,659
7757.84,1.09,28.88,0.04,25.1,813
7790.89,0.82,24.41,0.21,21.95,851
1928.11,0.69,26.39,0.28,26.14,549
9122.98,1.11,58.45,0.47,49.46,843
5547.27,1.22,14.05,0.34,13.4,711
8438.12,1.25,36.82,0.21,28.3,817
3880.45,0.83,19.79,0.41,19.25,644
9059.71,0.6,65.96,0.22,67.08,812
4502.82,1.42,95.32,0.37,89.1,677
1097.54,1.19,14.0,0.26,13.43,470
9148.44,1.45,90.61,0.08,86.73,861
1821.58,0.65,78.86,0.49,82.0,399
3873.82,1.16,59.01,0.25,53.41,518
9550.56,0.7,95.44,0.08,93.89,698
9555.46,1.37,29.86,0.42,27.37,1001
6160.94,1.02,13.97,0.33,16.4,782
6686.53,1.03,80.54,0.19,85.09,713
5036.01,1.43,21.08,0.14,20.12,726
3638.9,0.8,84.95,0.18,88.2,435
3957.98,1.12,92.61,0.36,92.85,464
7052.67,0.64,32.37,0.08,25.76,775
7771.37,0.86,87.69,0.2,92.51,699
8124.21,0.69,58.01,0.17,53.55,827
8106.56,0.7,41.27,0.01,37.71,780
1820.85,1.16,35.17,0.23,38.92,448
5449.78,0.79,80.66,0.06,73.85,599
1518.03,0.75,69.63,0.23,66.71,399
5945.76,1.31,85.91,0.2,85.95,600
4973.77,0.97,65.21,0.3,66.31,575
8989.34,0.88,42.12,0.2,41.95,827
4158.24,1.32,42.48,0.18,42.94,649
2053.6,0.99,92.1,0.42,93.3,418
2286.93,1.31,70.07,0.49,70.23,534
7853.6,0.82,85.82,0.19,86.97,753
6563.96,1.46,78.56,0.28,80.46,643
1910.1,1.42,28.32,0.2,27.34,616
1756.96,1.32,50.9,0.17,50.68,529
7308.72,0.71,17.55,0.05,15.28,869
1654.87,1.23,85.29,0.12,88.94,363
8396.74,1.32,60.34,0.48,54.08,859
7356.18,0.86,92.17,0.03,90.85,771
1732.14,0.64,25.14,0.29,24.44,521
1763.54,0.77,93.1,0.44,89.56,434
9879.76,1.09,89.85,0.02,91.05,802
4368.44,0.75,24.49,0.17,21.73,618
4335.78,1.16,78.65,0.13,72.06,598
8315.2,0.89,52.36,0.09,52.02,823
9525.24,0.73,33.76,0.13,27.73,951
9874.01,1.11,92.93,0.49,92.51,788
7780.4,0.57,81.62,0.18,90.18,708
4386.34,1.12,24.76,0.45,23.02,820
1751.51,1.47,95.6,0.04,97.1,452
7994.32,1.21,57.52,0.2,56.04,820
6025.64,0.83,59.32,0.42,54.73,711
4818.0,1.4,70.27,0.49,71.5,578
9157.19,1.03,47.84,0.14,46.22,983
2000.78,1.03,43.26,0.18,38.56,569
5433.63,0.88,78.35,0.37,76.92,718
1102.18,0.55,54.17,0.34,55.69,476
5217.95,0.77,62.04,0.14,64.21,698
1506.73,1.32,42.11,0.18,42.68,498
2069.36,0.76,63.32,0.12,63.32,443
2057.74,0.91,69.4,0.25,72.37,460
6842.89,1.13,32.44,0.26,41.3,690
7714.4,0.78,92.98,0.28,90.51,633
6250.32,1.31,55.97,0.35,55.44,701
9659.55,1.4,43.36,0.24,43.79,954
4373.84,0.56,72.72,0.0,71.9,566
3571.41,1.07,94.56,0.17,86.8,538
8817.39,0.85,59.03,0.33,56.25,788
3012.36,1.05,39.81,0.09,42.59,622
9669.0,1.05,69.72,0.27,65.21,787
1109.39,0.51,92.95,0.04,93.53,282
9728.91,1.15,26.24,0.27,26.9,944
1388.44,0.72,58.09,0.37,54.1,548
9020.29,1.06,29.94,0.24,30.34,827
5749.31,1.4,57.98,0.49,53.31,785
9936.68,0.69,79.88,0.44,80.8,818
1664.17,0.77,82.3,0.17,94.31,410
5984.69,0.56,13.24,0.16,12.25,753
9723.72,0.99,37.09,0.43,39.38,954
5707.88,1.37,28.41,0.2,31.01,687
6664.59,1.04,36.03,0.02,30.79,697
7261.74,0.85,51.64,0.19,53.86,854
5090.87,1.41,16.32,0.03,17.17,734
6648.02,1.03,54.21,0.02,57.04,717
6258.83,1.47,76.01,0.21,79.43,665
9110.42,1.25,54.72,0.37,68.26,809
1409.02,1.41,68.58,0.47,63.83,461
3528.67,1.15,79.93,0.47,74.93,426
9553.7,1.49,93.84,0.48,90.96,839
9012.37,1.03,85.82,0.03,90.43,682
5100.91,1.14,86.43,0.16,86.23,594
6581.19,0.63,38.02,0.14,36.93,800
3496.43,1.44,42.13,0.07,40.01,658
2693.09,0.83,35.81,0.41,44.87,580
5173.29,1.17,86.91,0.21,94.39,578
4180.17,0.86,44.71,0.28,47.45,612
6252.91,1.39,10.76,0.14,14.18,822
1699.61,0.61,18.29,0.34,12.66,548
9769.55,1.4,21.37,0.42,26.45,988
9875.9,1.13,15.25,0.34,20.18,873
7283.46,1.46,62.82,0.34,63.15,778
5824.87,1.0,17.19,0.4,19.79,708
3785.75,0.99,68.73,0.49,59.58,633
8324.16,0.86,32.49,0.19,30.64,851
7162.58,0.83,79.9,0.23,85.11,661
2463.55,0.62,65.52,0.24,70.21,514
9198.34,0.83,90.99,0.09,89.75,706
8402.84,1.11,51.77,0.37,49.64,866
9548.2,0.58,45.23,0.37,40.25,898
7531.48,0.69,39.55,0.07,40.06,779
6520.74,1.36,26.36,0.14,29.97,771
4764.19,0.59,40.02,0.08,42.41,627
9394.56,0.74,10.76,0.31,8.29,960
8794.58,0.5,92.06,0.29,87.88,701
1406.97,1.22,97.62,0.3,103.6,354
1237.3,1.35,91.19,0.38,89.21,353
4388.17,1.38,16.28,0.43,16.72,687
8294.98,1.4,22.77,0.3,27.01,870
9885.49,0.9,84.46,0.11,83.35,845
2353.75,1.06,54.82,0.44,56.89,531
6347.18,1.18,15.33,0.45,15.43,809
4428.02,1.41,39.24,0.44,41.35,650
9729.23,1.3,42.81,0.4,40.97,872
8579.07,0.99,67.76,0.12,70.8,821
8544.96,1.01,15.75,0.28,15.57,893
5218.24,0.84,91.26,0.0,81.01,539
4733.38,0.51,17.99,0.31,20.33,612
3460.66,0.64,44.22,0.21,31.56,698
1507.38,0.83,13.43,0.09,18.7,570
8782.5,1.11,63.62,0.4,62.68,812
8316.11,1.21,90.83,0.36,88.74,788
9997.46,1.39,88.83,0.47,91.71,863
9969.73,1.05,51.07,0.22,49.76,955
5998.89,0.89,29.34,0.38,40.3,722
7920.89,1.19,28.46,0.02,28.83,716
9502.89,0.89,22.41,0.16,20.8,909
8646.83,0.61,59.85,0.26,70.27,829
3226.13,0.5,28.3,0.2,23.19,633
5054.9,1.21,51.99,0.36,51.94,675
2162.43,1.4,97.52,0.02,100.21,465
9586.46,1.18,22.01,0.05,18.28,1002
6455.57,0.53,40.13,0.06,43.52,815
3057.79,0.72,79.74,0.22,80.35,462
7045.31,1.45,45.57,0.32,42.06,861
6563.15,1.21,60.85,0.43,49.25,855
4223.46,1.24,13.02,0.24,21.24,677
2022.02,1.31,19.2,0.12,26.46,476
7044.16,1.41,59.02,0.49,46.3,700
5682.77,0.94,15.79,0.45,13.25,797
7950.87,0.93,87.99,0.29,87.33,727
5681.47,0.52,86.03,0.39,84.87,623
8669.63,1.44,10.18,0.39,3.21,973
5967.16,0.63,15.81,0.1,9.55,758
6048.44,0.95,80.54,0.15,78.15,626
8889.88,1.1,72.86,0.07,66.51,823
4631.35,1.49,17.76,0.19,13.81,687
2206.14,0.9,28.64,0.42,35.59,531
1259.04,1.17,34.32,0.5,28.32,614
7796.24,1.45,61.08,0.07,57.93,749
6582.79,1.07,38.21,0.1,28.97,714
7336.72,1.03,29.68,0.46,37.52,829
2916.68,1.07,37.04,0.07,37.74,602
2227.34,1.32,97.5,0.41,98.58,464
1130.9,0.54,44.29,0.26,40.11,483
4155.29,1.26,74.63,0.08,83.53,616
6309.26,0.67,48.34,0.19,45.02,679
4530.2,1.27,18.06,0.34,21.61,768
4937.27,1.3,20.78,0.17,17.93,714
9137.43,1.13,50.27,0.48,43.03,844
4134.3,0.94,83.96,0.09,89.49,629
5625.91,1.23,33.96,0.23,36.39,654
8052.88,0.52,58.57,0.36,59.78,812
4568.89,1.15,68.47,0.35,73.46,651
6598.78,0.73,94.04,0.26,95.56,672
8761.27,1.16,51.8,0.43,50.71,899
9545.69,0.64,40.08,0.47,38.2,945
2323.66,0.68,64.2,0.35,54.42,514
9339.29,0.95,36.71,0.17,38.68,1014
5429.05,1.03,44.06,0.49,40.92,721
3324.2,0.92,46.2,0.22,44.54,587
5132.22,1.11,48.01,0.13,48.84,698
9820.29,0.55,22.22,0.14,26.77,1072
5433.56,0.69,19.57,0.13,14.46,800
3958.76,0.5,47.11,0.06,46.14,654
6700.61,1.07,17.1,0.04,19.4,851
3161.31,1.19,50.89,0.21,60.05,521
1682.77,0.98,95.06,0.32,100.11,431
2159.92,0.96,62.47,0.09,61.73,460
2152.41,0.93,10.97,0.28,5.31,689
2367.12,0.84,54.1,0.24,51.88,563
2249.44,1.09,19.89,0.43,18.65,638
6767.87,0.51,52.02,0.29,53.35,681
2636.92,1.1,97.69,0.09,97.12,450
4111.01,0.99,95.29,0.03,101.93,446
9071.1,1.13,48.14,0.32,49.55,884
5265.65,1.35,93.07,0.5,89.49,601
7008.02,1.33,15.73,0.04,18.53,932
2550.88,1.31,23.87,0.29,31.21,535
2730.6,0.91,27.26,0.37,29.9,593
1367.82,0.89,14.82,0.13,15.44,447
2520.42,0.71,65.32,0.36,62.94,562
3507.31,0.53,62.26,0.12,55.93,523
2593.09,1.01,62.38,0.08,63.74,468
1798.32,1.47,33.61,0.16,41.15,452
